id,recording_start_time_participant,recording_end_time_participant,battery_charging_start_time,battery_charging_end_time
BL007-02,04/08/2023 19:05,NaN,04/08/2023 18:01,13/09/2023 15:49
BL007-04,28/07/2023 19:42,15/09/2023 15:07,28/07/2023 18:42,15/09/2023 15:07
BL007-07,04/08/2023 19:27,14/09/2023 23:00,04/08/2023 18:35,14/09/2023 14:54
BL007-09,04/08/2023 17:18,13/09/2023 19:30,04/08/2023 16:16,13/09/2023 20:55
BL007-13,04/08/2023 17:36,19/09/2023 15:23,04/08/2023 16:36,19/09/2023 14:17
BL007-15,28/07/2023 17:24,NaN,28/07/2023 17:24,14/09/2023 15:02
BL007-17,05/08/2023 14:21,NaN,05/08/2023 14:21,13/09/2023 07:55
BL007-18,06/08/2023 12:29,14/09/2023 17:31,06/08/2023 11:31,14/09/2023 16:20
BL007-19,28/07/2023 18:15,15/09/2023 11:44,28/07/2023 17:18,15/09/2023 10:57
BL007-22,28/07/2023 19:16,13/09/2023 18:20,28/07/2023 18:17,13/09/2023 05:57
BL007-23,08/08/2023 19:09,01/09/2023 19:50,08/08/2023 18:10,13/09/2023 18:23
BL007-25,06/08/2023 11:13,13/09/2023 18:00,06/08/2023 10:31,13/09/2023 17:55
BL007-31,28/07/2023 18:49,19/09/2023 16:14,28/07/2023 17:47,19/09/2023 15:47
BL007-32,01/08/2023 08:23,NaN,01/08/2023 08:23,16/09/2023 12:55
BL007-33,06/08/2023 18:51,19/09/2023 15:41,NaN,NaN
BL007-34,28/07/2023 17:45,14/09/2023 09:00,28/07/2023 16:38,14/09/2023 21:45
BL007-35,NaN,NaN,02/08/2023 17:57,14/09/2023 14:41
BL007-36,04/08/2023 19:59,13/09/2023 18:50,04/08/2023 18:55,13/09/2023 16:52
BL007-39,NaN,NaN,04/08/2023 15:56,26/09/2023 19:25
BL007-40,11/08/2023 11:48,15/09/2023 15:30,11/08/2023 11:03,15/09/2023 13:53
BL007-42,08/08/2023 20:30,14/09/2023 17:15,08/08/2023 19:31,14/09/2023 16:19
BL007-43,NaN,NaN,01/08/2023 17:21,15/09/2023 10:11
BL007-44,06/08/2023 17:12,15/09/2023 14:47,06/08/2023 16:14,15/09/2023 15:25
BL007-45,05/08/2023 14:19,NaN,05/08/2023 14:19,14/09/2023 08:00
BL007-46,06/08/2023 12:57,19/09/2023 15:50,06/08/2023 22:08,19/09/2023 14:50
BL007-47,04/08/2023 18:29,NaN,04/08/2023 18:29,18/09/2023 17:42
BL007-48,NaN,12/09/2023 18:30,01/08/2023 17:38,12/09/2023 18:30
BL007-49,04/08/2023 17:55,NaN,04/08/2023 17:55,12/09/2023 18:00
BL007-50,NaN,NaN,01/08/2023 16:19,14/09/2023 15:24
BL007-51,05/08/2023 14:47,13/09/2023 18:15,05/08/2023 13:46,13/09/2023 15:57
BL007-52,04/08/2023 20:22,13/09/2023 18:27,04/08/2023 19:19,13/09/2023 11:47
BL007-54,05/08/2023 15:30,13/09/2023 18:07,05/08/2023 14:28,13/09/2023 17:05
BL007-56,06/08/2023 13:23,13/09/2023 18:40,07/08/2023 12:25,31/08/2023 18:48
BL007-57,06/08/2023 16:52,NaN,06/08/2023 16:52,17/09/2023 20:00
BL007-59,06/08/2023 11:56,NaN,06/08/2023 11:56,14/09/2023 19:16
BL007-64,06/08/2023 18:02,15/09/2023 16:00,06/08/2023 17:02,15/09/2023 15:10
BL007-66,06/08/2023 18:35,NaN,06/08/2023 18:35,14/09/2023 10:58
BL007-67,08/08/2023 19:36,14/09/2023 17:58,08/08/2023 18:37,14/09/2023 16:53
