TIME,TEMP,HUM,BATT,LIGHT,NOISE_A,PRESS,CCS811_VOCS,CCS811_ECO2,PM_1,PM_25,PM_10
ISO 8601,C,%,%,Lux,dBA,kPa,ppb,ppm,ug/m3,ug/m3,ug/m3
Time,Temperature,Humidity,Battery,Light,Noise dBA,Barometric pressure,VOC Gas CCS811,eCO2 Gas CCS811,PM 1.0,PM 2.5,PM 10.0
,55,56,10,14,53,58,113,112,89,87,88
2023-08-24T00:00:03Z,23.13,66.55,100,0,24.65,101.63,33.00,618.00,0,0,0
2023-08-24T00:01:03Z,23.14,66.58,100,0,24.39,101.63,31.00,607.00,null,null,null
2023-08-24T00:02:03Z,23.14,66.50,100,0,23.68,101.63,33.00,618.00,null,null,null
2023-08-24T00:03:03Z,23.14,66.55,100,0,23.20,101.63,32.00,615.00,null,null,null
2023-08-24T00:04:03Z,23.14,66.55,100,0,23.40,101.63,32.00,615.00,null,null,null
2023-08-24T00:05:03Z,23.14,66.52,100,0,23.20,101.63,31.00,607.00,0,0,0
2023-08-24T00:06:03Z,23.14,66.54,100,0,23.59,101.62,31.00,607.00,null,null,null
2023-08-24T00:07:03Z,23.14,66.54,100,0,27.12,101.62,32.00,615.00,null,null,null
2023-08-24T00:08:03Z,23.11,66.56,100,0,26.62,101.62,32.00,615.00,null,null,null
2023-08-24T00:09:03Z,23.11,66.54,100,0,22.99,101.62,33.00,618.00,null,null,null
2023-08-24T00:10:03Z,23.10,66.54,100,0,25.90,101.61,31.00,607.00,0,0,0
2023-08-24T00:11:03Z,23.13,66.56,100,0,26.21,101.61,31.00,607.00,null,null,null
2023-08-24T00:12:03Z,23.13,66.54,100,0,24.86,101.61,32.00,615.00,null,null,null
2023-08-24T00:13:03Z,23.13,66.54,100,0,22.89,101.61,32.00,615.00,null,null,null
2023-08-24T00:14:03Z,23.11,66.55,100,0,25.95,101.61,32.00,615.00,null,null,null
2023-08-24T00:15:03Z,23.10,66.58,100,0,22.43,101.61,32.00,615.00,0,0,0
2023-08-24T00:16:03Z,23.14,66.60,100,0,23.68,101.60,33.00,618.00,null,null,null
2023-08-24T00:17:03Z,23.11,66.56,100,0,23.30,101.61,33.00,618.00,null,null,null
2023-08-24T00:18:03Z,23.13,66.58,100,0,32.11,101.60,33.00,618.00,null,null,null
2023-08-24T00:19:03Z,23.13,66.56,100,0,21.56,101.60,33.00,618.00,null,null,null
2023-08-24T00:20:03Z,23.11,66.58,100,0,23.40,101.60,32.00,615.00,0,0,0
2023-08-24T00:21:03Z,23.11,66.57,100,0,21.26,101.60,34.00,626.00,null,null,null
2023-08-24T00:22:03Z,23.13,66.56,100,0,21.26,101.60,33.00,618.00,null,null,null
2023-08-24T00:23:03Z,23.13,66.57,100,0,23.94,101.60,33.00,618.00,null,null,null
2023-08-24T00:24:03Z,23.11,66.55,100,0,42.16,101.60,33.00,618.00,null,null,null
2023-08-24T00:25:03Z,23.10,66.60,100,0,20.93,101.60,34.00,626.00,0,0,0
2023-08-24T00:26:03Z,23.11,66.55,100,0,22.55,101.60,34.00,626.00,null,null,null
2023-08-24T00:27:03Z,23.13,66.55,100,0,22.83,101.59,33.00,618.00,null,null,null
2023-08-24T00:28:03Z,23.13,66.59,100,0,28.23,101.59,34.00,626.00,null,null,null
2023-08-24T00:29:03Z,23.13,66.55,100,0,21.71,101.60,34.00,626.00,null,null,null
2023-08-24T00:30:03Z,23.11,66.53,100,0,22.43,101.60,34.00,626.00,0,0,0
2023-08-24T00:31:03Z,23.11,66.51,100,0,26.36,101.60,35.00,633.00,null,null,null
2023-08-24T00:32:03Z,23.11,66.49,100,0,22.31,101.60,35.00,633.00,null,null,null
2023-08-24T00:33:03Z,23.11,66.52,100,0,23.25,101.60,34.00,626.00,null,null,null
2023-08-24T00:34:03Z,23.10,66.49,100,0,20.76,101.60,34.00,626.00,null,null,null
2023-08-24T00:35:03Z,23.11,66.49,100,0,21.92,101.60,33.00,618.00,0,0,0
2023-08-24T00:36:03Z,23.10,66.46,100,0,23.86,101.60,33.00,618.00,null,null,null
2023-08-24T00:37:03Z,23.11,66.39,100,0,23.94,101.60,33.00,618.00,null,null,null
2023-08-24T00:38:03Z,23.09,66.40,100,0,24.39,101.60,32.00,615.00,null,null,null
2023-08-24T00:39:03Z,23.10,66.40,100,0,23.05,101.60,32.00,615.00,null,null,null
2023-08-24T00:40:03Z,23.09,66.39,100,0,29.40,101.60,31.00,607.00,0,0,0
2023-08-24T00:41:03Z,23.09,66.34,100,0,21.64,101.60,32.00,615.00,null,null,null
2023-08-24T00:42:03Z,23.11,66.37,100,0,23.25,101.60,32.00,615.00,null,null,null
2023-08-24T00:43:03Z,23.09,66.33,100,0,25.00,101.60,32.00,615.00,null,null,null
2023-08-24T00:44:03Z,23.10,66.37,100,0,24.11,101.60,31.00,607.00,null,null,null
2023-08-24T00:45:03Z,23.04,66.31,100,0,24.58,101.60,31.00,607.00,0,0,0
2023-08-24T00:46:03Z,23.07,66.27,100,0,26.99,101.60,31.00,607.00,null,null,null
2023-08-24T00:47:03Z,23.10,66.21,100,0,21.78,101.59,31.00,607.00,null,null,null
2023-08-24T00:48:03Z,23.07,66.20,100,0,22.18,101.59,31.00,607.00,null,null,null
2023-08-24T00:49:03Z,23.03,66.18,100,0,23.98,101.59,31.00,607.00,null,null,null
2023-08-24T00:50:03Z,23.06,66.18,100,0,24.46,101.59,30.00,600.00,0,0,0
2023-08-24T00:51:03Z,23.07,66.15,100,0,22.05,101.59,30.00,600.00,null,null,null
2023-08-24T00:52:03Z,23.06,66.15,100,0,21.99,101.59,29.00,592.00,null,null,null
2023-08-24T00:53:03Z,23.07,66.13,100,0,26.62,101.59,28.00,588.00,null,null,null
2023-08-24T00:54:03Z,23.03,66.10,100,0,21.85,101.59,28.00,588.00,null,null,null
2023-08-24T00:55:03Z,23.06,66.08,100,0,21.56,101.59,28.00,588.00,0,0,0
2023-08-24T00:56:03Z,23.03,66.13,100,0,23.45,101.59,28.00,588.00,null,null,null
2023-08-24T00:57:03Z,23.07,66.07,100,0,22.37,101.59,27.00,580.00,null,null,null
2023-08-24T00:58:03Z,23.03,66.02,100,0,21.02,101.59,26.00,574.00,null,null,null
2023-08-24T00:59:03Z,23.02,66.05,100,0,22.83,101.60,27.00,580.00,null,null,null
2023-08-24T01:00:03Z,23.02,66.18,100,0,21.56,101.59,27.00,580.00,0,0,0
2023-08-24T01:01:03Z,23.02,66.02,100,0,27.80,101.59,27.00,580.00,null,null,null
2023-08-24T01:02:03Z,23.02,65.96,100,0,22.05,101.59,29.00,592.00,null,null,null
2023-08-24T01:03:03Z,23.03,66.00,100,0,22.05,101.59,28.00,588.00,null,null,null
2023-08-24T01:04:03Z,22.99,65.99,100,0,22.66,101.59,27.00,580.00,null,null,null
2023-08-24T01:05:03Z,22.99,66.08,100,0,23.86,101.59,27.00,580.00,0,0,0
2023-08-24T01:06:03Z,22.98,66.05,100,0,23.90,101.59,26.00,574.00,null,null,null
2023-08-24T01:07:03Z,23.02,66.07,100,0,22.66,101.59,29.00,592.00,null,null,null
2023-08-24T01:08:03Z,22.99,66.01,100,0,22.12,101.59,29.00,592.00,null,null,null
2023-08-24T01:09:03Z,23.00,66.05,100,0,22.05,101.59,29.00,592.00,null,null,null
2023-08-24T01:10:03Z,22.99,66.03,100,0,23.40,101.59,29.00,592.00,0,0,0
2023-08-24T01:11:03Z,22.99,65.99,100,0,20.76,101.59,29.00,592.00,null,null,null
2023-08-24T01:12:03Z,22.98,65.95,100,0,20.93,101.59,30.00,600.00,null,null,null
2023-08-24T01:13:03Z,22.98,65.97,100,0,23.05,101.59,30.00,600.00,null,null,null
2023-08-24T01:14:03Z,22.99,65.95,100,0,23.30,101.58,29.00,592.00,null,null,null
2023-08-24T01:15:03Z,22.96,65.97,100,0,18.33,101.58,29.00,592.00,0,0,0
2023-08-24T01:16:03Z,22.99,65.88,100,0,23.86,101.58,29.00,592.00,null,null,null
2023-08-24T01:17:03Z,22.96,65.85,100,0,23.15,101.58,28.00,588.00,null,null,null
2023-08-24T01:18:03Z,22.99,65.91,100,0,25.19,101.57,28.00,588.00,null,null,null
2023-08-24T01:19:03Z,22.98,65.73,100,0,24.35,101.57,28.00,588.00,null,null,null
2023-08-24T01:20:03Z,22.98,65.80,100,0,20.67,101.57,28.00,586.00,0,0,0
2023-08-24T01:21:03Z,22.98,65.71,100,0,23.45,101.58,28.00,588.00,null,null,null
2023-08-24T01:22:03Z,22.96,65.66,100,0,22.83,101.57,28.00,586.00,null,null,null
2023-08-24T01:23:03Z,22.95,65.74,100,0,24.35,101.57,25.00,570.00,null,null,null
2023-08-24T01:24:03Z,22.93,65.66,100,0,23.68,101.57,27.00,578.00,null,null,null
2023-08-24T01:25:03Z,22.90,65.62,100,0,22.83,101.58,25.00,570.00,0,0,0
2023-08-24T01:26:03Z,22.95,65.62,100,0,20.39,101.57,25.00,570.00,null,null,null
2023-08-24T01:27:03Z,22.93,65.69,100,0,23.40,101.58,25.00,570.00,null,null,null
2023-08-24T01:28:03Z,22.92,65.62,100,0,24.50,101.57,25.00,570.00,null,null,null
2023-08-24T01:29:03Z,22.93,65.59,100,0,23.15,101.57,25.00,565.00,null,null,null
2023-08-24T01:30:03Z,22.92,65.61,100,0,24.35,101.57,24.00,560.00,0,0,0
2023-08-24T01:31:03Z,22.92,65.59,100,0,24.19,101.57,25.00,565.00,null,null,null
2023-08-24T01:32:03Z,22.95,65.51,100,0,22.24,101.57,25.00,565.00,null,null,null
2023-08-24T01:33:03Z,22.90,65.54,100,0,23.59,101.57,25.00,565.00,null,null,null
2023-08-24T01:34:03Z,22.92,65.54,100,0,24.19,101.57,24.00,560.00,null,null,null
2023-08-24T01:35:03Z,22.90,65.62,100,0,24.68,101.57,23.00,552.00,0,0,0
2023-08-24T01:36:03Z,22.90,65.62,100,0,24.23,101.57,25.00,565.00,null,null,null
2023-08-24T01:37:03Z,22.92,65.54,100,0,20.58,101.56,25.00,565.00,null,null,null
2023-08-24T01:38:03Z,22.90,65.55,100,0,24.43,101.56,24.00,560.00,null,null,null
2023-08-24T01:39:03Z,22.89,65.56,100,0,23.63,101.56,24.00,560.00,null,null,null
2023-08-24T01:40:03Z,22.89,65.46,100,0,27.40,101.56,23.00,552.00,0,0,0
2023-08-24T01:41:03Z,22.88,65.47,100,0,25.03,101.55,24.00,560.00,null,null,null
2023-08-24T01:42:03Z,22.88,65.47,100,0,27.84,101.55,23.00,552.00,null,null,null
2023-08-24T01:43:03Z,22.89,65.49,100,0,21.56,101.55,22.00,545.00,null,null,null
2023-08-24T01:44:03Z,22.84,65.43,100,0,23.05,101.55,22.00,545.00,null,null,null
2023-08-24T01:45:03Z,22.86,65.47,100,0,24.96,101.55,21.00,540.00,0,0,0
2023-08-24T01:46:03Z,22.86,65.51,100,0,23.25,101.55,22.00,545.00,null,null,null
2023-08-24T01:47:03Z,22.88,65.41,100,0,20.39,101.54,21.00,540.00,null,null,null
2023-08-24T01:48:03Z,22.86,65.38,100,0,23.15,101.54,21.00,540.00,null,null,null
2023-08-24T01:49:03Z,22.86,65.41,100,0,23.86,101.54,20.00,534.00,null,null,null
2023-08-24T01:50:03Z,22.83,65.32,100,0,24.39,101.54,19.00,529.00,0,0,0
2023-08-24T01:51:03Z,22.86,65.41,100,0,23.59,101.53,21.00,540.00,null,null,null
2023-08-24T01:52:03Z,22.86,65.35,100,0,21.64,101.53,20.00,534.00,null,null,null
2023-08-24T01:53:03Z,22.83,65.39,100,0,23.05,101.52,19.00,529.00,null,null,null
2023-08-24T01:54:03Z,22.82,65.42,100,0,22.94,101.53,19.00,529.00,null,null,null
2023-08-24T01:55:03Z,22.82,65.35,100,0,25.03,101.52,18.00,523.00,0,0,0
2023-08-24T01:56:03Z,22.80,65.43,100,0,22.24,101.52,19.00,529.00,null,null,null
2023-08-24T01:57:03Z,22.80,65.31,100,0,24.15,101.52,17.00,517.00,null,null,null
2023-08-24T01:58:03Z,22.80,65.44,100,0,25.41,101.52,18.00,523.00,null,null,null
2023-08-24T01:59:03Z,22.79,65.45,100,0,22.31,101.52,17.00,517.00,null,null,null
2023-08-24T02:00:03Z,22.79,65.43,100,0,21.99,101.52,16.00,506.00,0,0,0
2023-08-24T02:01:03Z,22.79,65.43,100,0,23.94,101.52,17.00,517.00,null,null,null
2023-08-24T02:02:03Z,22.78,65.38,100,0,23.54,101.52,16.00,506.00,null,null,null
2023-08-24T02:03:03Z,22.78,65.40,100,0,26.11,101.52,16.00,506.00,null,null,null
2023-08-24T02:04:03Z,22.73,65.41,100,0,28.19,101.52,16.00,506.00,null,null,null
2023-08-24T02:05:03Z,22.76,65.41,100,0,26.41,101.52,16.00,506.00,0,0,0
2023-08-24T02:06:03Z,22.78,65.45,100,0,23.72,101.52,15.00,503.00,null,null,null
2023-08-24T02:07:03Z,22.75,65.50,100,0,33.18,101.51,16.00,506.00,null,null,null
2023-08-24T02:08:03Z,22.76,65.41,100,0,28.31,101.51,15.00,503.00,null,null,null
2023-08-24T02:09:03Z,22.75,65.39,100,0,29.58,101.51,15.00,503.00,null,null,null
2023-08-24T02:10:03Z,22.72,65.40,100,0,25.98,101.50,13.00,491.00,0,0,0
2023-08-24T02:11:03Z,22.72,65.59,100,0,23.25,101.50,17.00,517.00,null,null,null
2023-08-24T02:12:03Z,22.72,65.53,100,0,25.35,101.49,19.00,529.00,null,null,null
2023-08-24T02:13:03Z,22.72,65.63,100,0,23.15,101.49,19.00,529.00,null,null,null
2023-08-24T02:14:03Z,22.71,65.60,100,0,24.07,101.49,20.00,534.00,null,null,null
2023-08-24T02:15:03Z,22.71,65.67,100,0,25.03,101.48,19.00,529.00,0,0,0
2023-08-24T02:16:03Z,22.69,65.70,100,0,24.03,101.48,19.00,529.00,null,null,null
2023-08-24T02:17:03Z,22.71,65.73,100,0,22.49,101.47,20.00,537.00,null,null,null
2023-08-24T02:18:03Z,22.69,65.73,100,0,25.44,101.46,21.00,543.00,null,null,null
2023-08-24T02:19:03Z,22.71,65.77,100,0,24.58,101.46,23.00,552.00,null,null,null
2023-08-24T02:20:03Z,22.68,65.84,100,0,25.79,101.45,23.00,556.00,0,0,0
2023-08-24T02:21:03Z,22.71,65.89,100,0,23.15,101.45,26.00,577.00,null,null,null
2023-08-24T02:22:03Z,22.73,65.91,100,0,23.05,101.44,28.00,589.00,null,null,null
2023-08-24T02:23:03Z,22.71,65.86,100,0,22.43,101.44,30.00,597.00,null,null,null
2023-08-24T02:24:03Z,22.69,65.95,100,0,22.94,101.44,30.00,603.00,null,null,null
2023-08-24T02:25:03Z,22.71,65.95,100,0,19.98,101.44,32.00,611.00,0,0,0
2023-08-24T02:26:03Z,22.75,65.95,100,0,22.12,101.44,34.00,626.00,null,null,null
2023-08-24T02:27:03Z,22.73,65.87,100,0,21.49,101.44,29.00,592.00,null,null,null
2023-08-24T02:28:03Z,22.71,65.86,100,0,24.07,101.44,33.00,617.00,null,null,null
2023-08-24T02:29:03Z,22.71,65.84,100,0,25.67,101.45,34.00,626.00,null,null,null
2023-08-24T02:30:03Z,22.72,65.84,100,0,23.25,101.45,33.00,617.00,0,0,0
2023-08-24T02:31:03Z,22.72,65.77,100,0,24.39,101.46,34.00,626.00,null,null,null
2023-08-24T02:32:03Z,22.71,65.76,100,0,24.58,101.47,33.00,617.00,null,null,null
2023-08-24T02:33:03Z,22.71,65.84,100,0,23.45,101.46,32.00,611.00,null,null,null
2023-08-24T02:34:03Z,22.71,65.86,100,0,26.14,101.46,32.00,611.00,null,null,null
2023-08-24T02:35:03Z,22.69,65.86,100,0,22.24,101.46,32.00,611.00,0,0,0
2023-08-24T02:36:03Z,22.72,65.90,100,0,23.49,101.45,34.00,626.00,null,null,null
2023-08-24T02:37:03Z,22.72,65.93,100,0,23.10,101.45,34.00,626.00,null,null,null
2023-08-24T02:38:03Z,22.72,65.91,100,0,25.87,101.45,36.00,640.00,null,null,null
2023-08-24T02:39:03Z,22.71,65.89,100,0,25.16,101.45,36.00,640.00,null,null,null
2023-08-24T02:40:03Z,22.71,65.87,100,0,23.63,101.45,36.00,640.00,0,0,0
2023-08-24T02:41:03Z,22.71,65.90,100,0,23.59,101.44,36.00,640.00,null,null,null
2023-08-24T02:42:03Z,22.73,65.83,100,0,23.94,101.44,36.00,640.00,null,null,null
2023-08-24T02:43:03Z,22.69,65.87,100,0,36.95,101.44,36.00,640.00,null,null,null
