Sensor_ID,LMK_KEY,ADDRESS1,ADDRESS2,ADDRESS3,POSTCODE,BUILDING_REFERENCE_NUMBER,CURRENT_ENERGY_RATING,POTENTIAL_ENERGY_RATING,CURRENT_ENERGY_EFFICIENCY,POTENTIAL_ENERGY_EFFICIENCY,PROPERTY_TYPE,BUILT_FORM,INSPECTION_DATE,LOCAL_AUTHORITY,CONSTITUENCY,COUNTY,LODGEMENT_DATE,TRANSACTION_TYPE,ENVIRONMENT_IMPACT_CURRENT,ENVIRONMENT_IMPACT_POTENTIAL,ENERGY_CONSUMPTION_CURRENT,ENERGY_CONSUMPTION_POTENTIAL,CO2_EMISSIONS_CURRENT,CO2_EMISS_CURR_PER_FLOOR_AREA,CO2_EMISSIONS_POTENTIAL,LIGHTING_COST_CURRENT,LIGHTING_COST_POTENTIAL,HEATING_COST_CURRENT,HEATING_COST_POTENTIAL,HOT_WATER_COST_CURRENT,HOT_WATER_COST_POTENTIAL,TOTAL_FLOOR_AREA,ENERGY_TARIFF,MAINS_GAS_FLAG,FLOOR_LEVEL,FLAT_TOP_STOREY,FLAT_STOREY_COUNT,MAIN_HEATING_CONTROLS,MULTI_GLAZE_PROPORTION,GLAZED_TYPE,GLAZED_AREA,EXTENSION_COUNT,NUMBER_HABITABLE_ROOMS,NUMBER_HEATED_ROOMS,LOW_ENERGY_LIGHTING,NUMBER_OPEN_FIREPLACES,HOTWATER_DESCRIPTION,HOT_WATER_ENERGY_EFF,HOT_WATER_ENV_EFF,FLOOR_DESCRIPTION,FLOOR_ENERGY_EFF,FLOOR_ENV_EFF,WINDOWS_DESCRIPTION,WINDOWS_ENERGY_EFF,WINDOWS_ENV_EFF,WALLS_DESCRIPTION,WALLS_ENERGY_EFF,WALLS_ENV_EFF,SECONDHEAT_DESCRIPTION,SHEATING_ENERGY_EFF,SHEATING_ENV_EFF,ROOF_DESCRIPTION,ROOF_ENERGY_EFF,ROOF_ENV_EFF,MAINHEAT_DESCRIPTION,MAINHEAT_ENERGY_EFF,MAINHEAT_ENV_EFF,MAINHEATCONT_DESCRIPTION,MAINHEATC_ENERGY_EFF,MAINHEATC_ENV_EFF,LIGHTING_DESCRIPTION,LIGHTING_ENERGY_EFF,LIGHTING_ENV_EFF,MAIN_FUEL,WIND_TURBINE_COUNT,HEAT_LOSS_CORRIDOR,UNHEATED_CORRIDOR_LENGTH,FLOOR_HEIGHT,PHOTO_SUPPLY,SOLAR_WATER_HEATING_FLAG,MECHANICAL_VENTILATION,ADDRESS,LOCAL_AUTHORITY_LABEL,CONSTITUENCY_LABEL,POSTTOWN,CONSTRUCTION_AGE_BAND,LODGEMENT_DATETIME,TENURE,FIXED_LIGHTING_OUTLETS_COUNT,LOW_ENERGY_FIXED_LIGHT_COUNT,UPRN,UPRN_SOURCE
BL007-02,1.43E+33,"4, John Maurice Close",,,SE17 1PY,2133453478,D,B,67,87,House,Mid-Terrace,21/03/2016,E09000028,E14000553,Greater London Authority,24/03/2016,marketed sale,64,87,211,60,2.5,37,0.8,63,47,432,330,138,81,69,Unknown,Y,NODATA!,,,2104,0,not defined,Normal,0,5,5,67,0,From main system,Good,Good,"Solid, no insulation (assumed)",NO DATA!,,Single glazed,Very Poor,Very Poor,"Cavity wall, as built, insulated (assumed)",Good,Good,None,,,"Pitched, 100 mm loft insulation",Average,Average,"Boiler and radiators, mains gas",Good,Good,Programmer and room thermostat,Average,Average,Low energy lighting in 67% of fixed outlets,Good,Good,mains gas (not community),0,NO DATA!,,2.35,,N,natural,"4, John Maurice Close",Southwark,Bermondsey and Old Southwark,LONDON,England and Wales: 1991-1995,24/03/2016 14:07,owner-occupied,,,2.00E+11,Address Matched
BL007-04,1.67E+33,Flat 12 Blossom Court,Shield Street,,SE15 6FT,285701678,B,B,84,84,Flat,Detached,04/06/2018,E09000028,E14000615,Greater London Authority,05/11/2018,new dwelling,91,91,46,46,0.7,8,0.7,61,61,166,166,109,109,88,standard tariff,,mid floor,,,,,NO DATA!,NO DATA!,,,,100,0,Community scheme,Good,Good,(other premises below),,,High performance glazing,Very Good,Very Good,Average thermal transmittance 0.15 W/m-??K,Very Good,Very Good,None,,,(other premises above),,,Community scheme,Good,Good,"Charging system linked to use of community heating, programmer and TRVs",Good,Good,Low energy lighting in all fixed outlets,Very Good,Very Good,NO DATA!,,NO DATA!,,,,,NO DATA!,"Flat 12 Blossom Court, Shield Street",Southwark,Camberwell and Peckham,LONDON,NO DATA!,05/11/2018 09:50,unknown,11,11,10094085135,Address Matched
BL007-07,9.19E+32,"3, Nutt Street",,,SE15 6LD,4424167078,C,B,75,87,House,Mid-Terrace,12/01/2017,E09000028,E14000615,Greater London Authority,12/01/2017,rental (social),74,87,150,57,1.9,26,0.8,53,53,327,327,107,70,72,Single,Y,NODATA!,,,2106,100,double glazing installed before 2002,Normal,0,3,3,100,0,From main system,Good,Good,"Solid, limited insulation (assumed)",NO DATA!,,Fully double glazed,Average,Average,"Cavity wall, as built, insulated (assumed)",Good,Good,None,,,"Pitched, 250 mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in all fixed outlets,Very Good,Very Good,mains gas (not community),0,NO DATA!,,,,N,natural,"3, Nutt Street",Southwark,Camberwell and Peckham,LONDON,England and Wales: 1996-2002,12/01/2017 12:31,rental (social),,,2.00E+11,Address Matched
BL007-09,5.50E+32,"26, Coleby Path",,,SE5 7SN,8083650868,C,B,74,81,Maisonette,NO DATA!,07/10/2010,E09000028,E14000615,Greater London Authority,10/10/2010,marketed sale,69,78,215,157,2.8,36,2,48,48,392,270,139,139,78.12,Single,Y,2nd,Y,4,2301,100,double glazing installed during or after 2002,Normal,0,4,4,89,0,From main system,Good,Good,(other premises below),,,Fully double glazed,Good,Good,"Cavity wall, as built, no insulation (assumed)",Poor,Poor,None,,,"Pitched, 75 mm loft insulation",Average,Average,Community scheme,Good,Good,"Flat rate charging, no thermostatic control of room temperature",Very Poor,Very Poor,Low energy lighting in 89% of fixed outlets,Very Good,Very Good,mains gas - this is for backwards compatibility only and should not be used,0,no corridor,,2.35,0,N,natural,"26, Coleby Path",Southwark,Camberwell and Peckham,LONDON,England and Wales: 1967-1975,10/10/2010 23:37,owner-occupied,,,2.00E+11,Address Matched
BL007-13,1.29E+33,2 Sunset Buildings,"76, Edmund Street",,SE5 7NR,2722163378,B,B,85,85,Flat,Detached,26/02/2015,E09000028,E14000615,Greater London Authority,26/02/2015,new dwelling,91,91,53,53,0.7,9,0.7,46,46,160,160,101,101,72,standard tariff,,ground floor,,,,,NO DATA!,NO DATA!,,,,,0,Community scheme,Very Good,Very Good,Average thermal transmittance 0.11 W/m-??K,Very Good,Very Good,High performance glazing,Very Good,Very Good,Average thermal transmittance 0.20 W/m-??K,Very Good,Very Good,None,,,(other premises above),,,Community scheme,Very Good,Very Good,"Charging system linked to use of community heating, programmer and TRVs",Good,Good,Low energy lighting in all fixed outlets,Very Good,Very Good,NO DATA!,,NO DATA!,,,,,NO DATA!,"2 Sunset Buildings, 76, Edmund Street",Southwark,Camberwell and Peckham,LONDON,NO DATA!,26/02/2015 17:09,unknown,10,10,10091663885,Address Matched
BL007-15,1.65E+33,Flat 4 Dunvill Court,"25, Benhill Road",,SE5 7FT,6141729578,B,B,84,84,Flat,Enclosed End-Terrace,19/07/2018,E09000028,E14000615,Greater London Authority,19/07/2018,new dwelling,92,92,42,42,0.6,8,0.6,56,56,180,180,86,86,77,standard tariff,,mid floor,,,,,NO DATA!,NO DATA!,,,,100,0,From main system,Good,Good,Average thermal transmittance 0.2 W/m-??K,Very Good,Very Good,High performance glazing,Very Good,Very Good,Average thermal transmittance 0.2 W/m-??K,Very Good,Very Good,None,,,Average thermal transmittance 0.2 W/m-??K,Good,Good,"Boiler and radiators, mains gas",Good,Good,Time and temperature zone control,Very Good,Very Good,Low energy lighting in all fixed outlets,Very Good,Very Good,mains gas - this is for backwards compatibility only and should not be used,,NO DATA!,,,,,NO DATA!,"Flat 4 Dunvill Court, 25, Benhill Road",Southwark,Camberwell and Peckham,LONDON,NO DATA!,19/07/2018 09:54,owner-occupied,10,10,10093341568,Address Matched
BL007-17,1.16E+33,Flat 10 Primrose House,Peckham Hill Street,,SE15 5SS,6028264278,E,E,47,52,Maisonette,Mid-Terrace,18/06/2014,E09000028,E14000615,Greater London Authority,20/06/2014,marketed sale,41,45,382,347,5,74,4.5,44,44,877,794,129,129,67,Single,Y,3rd,Y,,2301,100,double glazing installed before 2002,Normal,0,3,3,100,0,Community scheme,Good,Good,(other premises below),,,Fully double glazed,Average,Average,"Solid brick, as built, no insulation (assumed)",Very Poor,Very Poor,None,,,"Roof room(s), no insulation (assumed)",Very Poor,Very Poor,Community scheme,Good,Good,"Flat rate charging, no thermostatic control",Very Poor,Very Poor,Low energy lighting in all fixed outlets,Very Good,Very Good,mains gas (community),0,no corridor,,,0,,natural,"Flat 10 Primrose House, Peckham Hill Street",Southwark,Camberwell and Peckham,LONDON,England and Wales: 1900-1929,20/06/2014 10:46,owner-occupied,7,7,2.00E+11,Address Matched
BL007-18,1.48E+33,Apartment 505,"6, Camberwell Passage",,SE5 0AX,6995507478,B,B,85,85,Flat,NO DATA!,14/11/2016,E09000028,E14000615,Greater London Authority,14/11/2016,new dwelling,88,88,60,60,1.1,11,1.1,63,63,255,255,92,92,102,standard tariff,,top floor,,,,,NO DATA!,NO DATA!,,,,,0,Community scheme,Very Good,Very Good,Average thermal transmittance 0.18 W/m-??K,Very Good,Very Good,High performance glazing,Very Good,Very Good,Average thermal transmittance 0.23 W/m-??K,Very Good,Very Good,None,,,Average thermal transmittance 0.18 W/m-??K,Good,Good,Community scheme,Very Good,Very Good,"Charging system linked to use of community heating, programmer and TRVs",Good,Good,Low energy lighting in all fixed outlets,Very Good,Very Good,NO DATA!,,NO DATA!,,,,,NO DATA!,"Apartment 505, 6, Camberwell Passage",Southwark,Camberwell and Peckham,LONDON,NO DATA!,14/11/2016 08:38,unknown,10,10,10093342411,Address Matched
BL007-19,4.70E+32,"19, Aylesbury Road",,,SE17 2EQ,3467194768,E,D,54,68,Flat,Mid-Terrace,23/07/2020,E09000028,E14000615,Greater London Authority,23/07/2020,marketed sale,43,60,292,191,4.3,61,2.8,120,61,656,442,91,91,71,Single,Y,1st,Y,,2104,0,not defined,Normal,1,4,4,0,2,From main system,Good,Good,(another dwelling below),NO DATA!,,Single glazed,Very Poor,Very Poor,"Solid brick, as built, no insulation (assumed)",Very Poor,Very Poor,"Room heaters, smokeless fuel",,,"Pitched, no insulation (assumed)",Very Poor,Very Poor,"Boiler and radiators, mains gas",Good,Good,Programmer and room thermostat,Average,Average,No low energy lighting,Very Poor,Very Poor,mains gas (not community),0,no corridor,,,,N,natural,"19, Aylesbury Road",Southwark,Camberwell and Peckham,LONDON,England and Wales: 1900-1929,23/07/2020 22:03,owner-occupied,,,2.00E+11,Address Matched
BL007-22,1.20E+33,12 Barrett Court,"1, Dobson Walk",,SE5 7FL,425837278,B,B,83,83,Flat,Detached,10/06/2015,E09000028,E14000615,Greater London Authority,10/06/2015,new dwelling,90,90,65,65,0.6,12,0.6,36,36,170,170,69,69,53,standard tariff,,top floor,,,,,NO DATA!,NO DATA!,,,,,0,Community scheme,Good,Very Good,(other premises below),,,High performance glazing,Very Good,Very Good,Average thermal transmittance 0.20 W/m-??K,Very Good,Very Good,None,,,Average thermal transmittance 0.13 W/m-??K,Very Good,Very Good,Community scheme,Good,Very Good,"Charging system linked to use of community heating, programmer and TRVs",Good,Good,Low energy lighting in all fixed outlets,Very Good,Very Good,NO DATA!,,NO DATA!,,,,,NO DATA!,"12 Barrett Court, 1, Dobson Walk",Southwark,Camberwell and Peckham,LONDON,NO DATA!,10/06/2015 12:31,unknown,10,10,10091663942,Address Matched
